waktu,id_tweet,count_retweet,count_likes,id_account_twitter,username,full_name,followers,following,location,tweet
2021-12-23 08:48:23,1473938523678208001,1,0,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/vjRy63grMG
2021-12-23 08:47:56,1473938410775941122,1,0,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/CiGyWNQtlQ
2021-12-23 08:47:51,1473938390156738562,1,0,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/8LMdhf2au2
2021-12-23 08:38:11,1473935959313948675,0,0,1409952091401904128,laniehearts1,Lanie,234,506,,"@cryptoworld202 The #GameTip of @MetaSoccer_EN ⚽️

check for more details👇
https://t.co/y0JYAQUP8L

#NFTGame… https://t.co/pN4uzJUuFb"
2021-12-23 08:35:07,1473935185972699138,0,1,808879273788309504,purplewitty099,Vivi09,112,208,,👎🏻 #WeWantEstes If #Moonton @MobileLegendsOL  #M3WorldChampionship is not true to their words then we should… https://t.co/4fuseefEUT
2021-12-23 08:28:45,1473933582829699075,0,0,990878023405613056,imsoujirou,Gian Lazarte,4,40,,"Luhhh moonton???? 

#WeWantEstes
#M3WorldChampionship 
#Blacklistinternational 
#EstesM3Skin"
2021-12-23 08:13:43,1473929799727185924,337,0,1242767622422159366,melomel17151672,melomelo,3,359,,"RT @MirkoCasts: Blacklist what the heck?!?!
#M3 #M3WorldChampionship #ToTheTop https://t.co/C3MltY3tY2"
2021-12-23 07:55:04,1473925105667375106,0,0,1015005502294581249,pengpengalpen,Alpen.7,272,80,,#WeWantEstesSkin  #M3WorldChampionship #MLBB @MobileLegendsOL https://t.co/V7uSfKv6LH
2021-12-23 07:35:25,1473920160763285505,0,0,1394272786000932871,pusigeologist,fays the badut,4,18,,#M3WorldChampionship @MobileLegendsOL #WeWantEstesSkin Estes M3 Skin!
2021-12-23 07:14:41,1473914943481151489,0,0,184571507,justin_lirio,Justin Lirio,15,70,,#WeWantEstesSkin #mlbb #M3WorldChampionship #Blacklistinternational #BLACKLISTWANTSESTESSKIN #Moonton
2021-12-23 06:38:12,1473905761617006593,0,0,1421327220899934209,MonicaJaneCruz1,Monica Jane Cruz,2,4,,"#WeWantEstesSkin ❤️
#M3WorldChampionship"
2021-12-23 06:25:55,1473902670737858561,0,0,1427702247262097418,JayWon_86,Nyeventeen!,6,195,,"ESTES FOR M3 SKIN
#WeWantEstesSkin
#WeWant #BLACKLISTWANTSESTESSKIN #WeWantEstes #M3WorldChampionship #M3 #M3Blacklist"
2021-12-23 06:25:21,1473902531499937796,19,0,1464806689287270402,esiwqt,drie | may hinanakit kay moonton,161,195,M3 ESTES SKIN DAPAT MOONTON,"RT @ONEEsports: Which hero will get an M3 skin? 🤔

@BLACKLISTINTL's OHEB and OhMyV33nus share their wish list 👉 https://t.co/yBdbII7c3h

#M…"
2021-12-23 06:22:48,1473901889322622979,0,0,1380096805325602817,JangQT_,JangQT,3,23,,"Mama mo fake news

#WeWantEstesSkin #M3WorldChampionship https://t.co/xsufkiYVD9"
2021-12-23 06:08:02,1473898171772260359,0,0,902156693378785280,rygSabado,Ryan Sabado,1,133,"Rizal,Nueva Ecija","#WeWantEstesSkin
#BLACKLISTWANTSESTESSKIN
#M3WorldChampionship
@MlbbEsports https://t.co/3Xl2GID1S9"
2021-12-23 05:07:13,1473882868602773506,31,0,1107239049188655104,awekshaaa,ꪔ꩝ιк,42,146,stj,"RT @t3r1e3_: The Black Mage: Boss A!!!

@AlodiaAlmira 

M3 World Championship Grand Final
@BLACKLISTINTL vs. @OnicPhilippines

#PilipinasLa…"
2021-12-23 04:47:04,1473877794388340744,19,0,1451596421505773570,MarieArr2,Jharie🐷,57,364,,"RT @ONEEsports: Which hero will get an M3 skin? 🤔

@BLACKLISTINTL's OHEB and OhMyV33nus share their wish list 👉 https://t.co/yBdbII7c3h

#M…"
2021-12-23 04:37:34,1473875406894014464,1,0,712175982,RandzSoriano_04,Randhel Soriano,506,605,philippines,"RT @Cyrus_14_: I hope they heard us
#WeWantEstes 
#WeWantEstesSkin 
#moonton 
#Blacklistinternational 
#M3WorldChampionship 
#OhMyV33nus 
#…"
2021-12-23 04:26:44,1473872679979470850,0,0,1409952091401904128,laniehearts1,Lanie,234,506,,"@cryptoworld202 In two days! @MetaSoccer_EN will reveal the first player from @Arsenal 🙀

@TheCryptoLark who do you… https://t.co/aF13z1lLNT"
2021-12-23 04:20:15,1473871048957636611,1,0,842514431493918725,Cyrus_14_,.𝙼𝚞𝚛𝚔𝚕𝚒𝚗𝚜.,602,544,"Calabarzon, Republic of the Ph","I hope they heard us
#WeWantEstes 
#WeWantEstesSkin 
#moonton 
#Blacklistinternational 
#M3WorldChampionship… https://t.co/p66tp6EoDG"
2021-12-23 04:09:02,1473868225116917760,15,0,712715221022822400,albmariaa,Maria 🦋,28,128,"Angeles City, Central Luzon","RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-23 03:37:18,1473860238772424709,0,0,969190092,philipmcdragon,fimini bon boulash 🎀,267,435,"Antipolo City, Calabarzon","#WeWantEstesSkin 
#Blacklistinternational 
#BLACKLISTWANTSESTESSKIN 
#M3WorldChampionship 

ayusin niyo moonton. Th… https://t.co/JHHwQ5Fe2S"
2021-12-23 03:17:50,1473855340739710978,1,0,712175982,RandzSoriano_04,Randhel Soriano,506,605,philippines,"RT @itzjpb: What’s the point of asking the M3 Champs if you ain’t going to follow them anyway? 
#WeWantEstesSkin #WeWantEstes
#MLBB 
#M3Wor…"
2021-12-23 02:58:11,1473850393600073731,0,0,1460625155236167680,engeneblinkeu,sunshine WE WANT ESTES,1,23,,WE WANT ESTES #Blacklistinternational @BLACKLISTINTL #M3WorldChampionship #MobileLegendsBangBang
2021-12-23 02:57:27,1473850209520209930,1,1,746069082,itzjpb,Paul B.,135,237,Costa Rica,"What’s the point of asking the M3 Champs if you ain’t going to follow them anyway? 
#WeWantEstesSkin #WeWantEstes… https://t.co/xx9npjFU9G"
2021-12-23 02:53:08,1473849122449145863,0,0,969190092,philipmcdragon,fimini bon boulash 🎀,267,435,"Antipolo City, Calabarzon",#WeWantEstesSkin #M3WorldChampionship #MLBB
2021-12-23 02:28:46,1473842993136160769,0,0,1428515281404452864,Lunazilch,ロイドジョン,2,159,,#WeWantEstes #MLBB #M3WorldChampionship #BBM
2021-12-23 02:04:03,1473836771989680130,15,0,1042069630137716736,hellasix_,elmowww,2,523,ph,"RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
2021-12-23 02:01:23,1473836100812963840,31,0,134782339,briangan11,brian -iwnl-,345,290,,"RT @t3r1e3_: The Black Mage: Boss A!!!

@AlodiaAlmira 

M3 World Championship Grand Final
@BLACKLISTINTL vs. @OnicPhilippines

#PilipinasLa…"
2021-12-23 01:52:03,1473833749876187138,0,4,2945055955,sawadeecara,Cara,653,435,9805—8000,"Moonton ano na? As an Estes main, hayaan niyo ang Blacklist piliin kung sino bet nila for the M3 Skin. Hindi mag de… https://t.co/nQJT2HgHkX"
2021-12-23 00:55:07,1473819421818777600,15,0,1425163144721141763,eahszxiii_,Ea,1,26,"National Capital Region, Repub","RT @FlmHshr: Complain however you want, but estes is pretty much the perfect hero for m3 skin.

It may not have been so instrumental in the…"
